Indicator Code,Indicator Name,First_Year,Last_Year,Number_of_Years,Coverage_Percent
NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI),1989,2021,33,50.0
NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI),1989,2021,33,50.0
EG.ELC.FOSL.ZS,"Electricity production from oil, gas and coal sources (% of total)",1990,2022,33,50.0
NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI),1989,2021,33,50.0
NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),1989,2021,33,50.0
NY.ADJ.DKAP.GN.ZS,Adjusted savings: consumption of fixed capital (% of GNI),1989,2021,33,50.0
NY.ADJ.DCO2.CD,Adjusted savings: carbon dioxide damage (current US$),1990,2021,32,48.484848484848484
EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),1990,2021,32,48.484848484848484
EG.ELC.RNWX.ZS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",1990,2021,32,48.484848484848484
EG.ELC.RNWX.KH,"Electricity production from renewable sources, excluding hydroelectric (kWh)",1990,2021,32,48.484848484848484
NY.ADJ.DCO2.GN.ZS,Adjusted savings: carbon dioxide damage (% of GNI),1990,2021,32,48.484848484848484
NY.ADJ.DPEM.GN.ZS,Adjusted savings: particulate emission damage (% of GNI),1990,2021,32,48.484848484848484
NY.ADJ.DPEM.CD,Adjusted savings: particulate emission damage (current US$),1990,2021,32,48.484848484848484
EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),1990,2021,32,48.484848484848484
SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),2000,2024,25,37.878787878787875
SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),2000,2024,25,37.878787878787875
SH.STA.ODFC.ZS,People practicing open defecation (% of population),2000,2024,25,37.878787878787875
SH.H2O.SMDW.ZS,People using safely managed drinking water services (% of population),2000,2024,25,37.878787878787875
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),2000,2024,25,37.878787878787875
EG.ELC.ACCS.ZS,Access to electricity (% of population),2000,2024,25,37.878787878787875
EN.GHG.ALL.LU.MT.CE.AR5,Total greenhouse gas emissions including LULUCF (Mt CO2e),2000,2023,24,36.36363636363637
EN.GHG.CO2.LU.DF.MT.CE.AR5,Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),2000,2023,24,36.36363636363637
EN.GHG.CO2.LU.MT.CE.AR5,Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),2000,2023,24,36.36363636363637
EN.GHG.CO2.LU.FL.MT.CE.AR5,Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),2000,2023,24,36.36363636363637
EN.GHG.CO2.LU.OL.MT.CE.AR5,Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),2000,2023,24,36.36363636363637
EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2021 PPP GDP),2000,2021,22,33.33333333333333
SH.STA.POIS.P5.MA,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",2000,2021,22,33.33333333333333
SH.STA.POIS.P5,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",2000,2021,22,33.33333333333333
SH.STA.POIS.P5.FE,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",2000,2021,22,33.33333333333333
EN.GHG.CO2.LU.OS.MT.CE.AR5,Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),2000,2020,21,31.818181818181817
NY.ADJ.SVNX.GN.ZS,"Adjusted net savings, excluding particulate emission damage (% of GNI)",2002,2021,20,30.303030303030305
NY.ADJ.NNAT.GN.ZS,Adjusted savings: net national savings (% of GNI),2002,2021,20,30.303030303030305
NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",2002,2021,20,30.303030303030305
NY.ADJ.SVNG.GN.ZS,"Adjusted net savings, including particulate emission damage (% of GNI)",2002,2021,20,30.303030303030305
